	NNP	,	CD	NNS	JJ	MD	VB	DT	NN	IN	.	VBZ	VBG	CC	VBD	VBN	RB	TO	PRP	RBR	WDT	VBP	RP	PRP$	JJS	POS	``	EX	''	WP	:	JJR	WRB	$	NNPS	WP$	(	)	PDT	RBS	FW	UH	SYM	LS	#
NNP	4699	0	43	20	127	0	7	5	116	2	0	6	5	0	4	5	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	29	1	0	0	0
,	0	2525	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
CD	35	0	1280	5	64	0	8	1	13	0	0	0	4	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NNS	127	0	9	2492	35	0	2	0	248	0	0	13	10	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	3	0	0	0	0
JJ	135	0	24	11	2559	0	9	7	78	3	0	3	12	3	2	58	28	1	0	1	0	3	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	5	0	4	0	0	0	0
MD	0	0	0	0	0	405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VB	5	0	8	0	11	0	1089	0	23	0	0	0	6	0	1	8	1	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DT	2	0	0	0	0	0	0	3943	3	11	0	0	0	3	0	0	8	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	2	1	0	0	0
NN	197	0	17	58	220	0	11	0	5559	1	0	5	33	2	4	5	2	0	2	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0
IN	2	0	1	0	8	0	0	17	1	4729	0	0	3	2	0	0	53	2	0	0	6	1	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0
.	0	0	0	0	0	0	0	0	0	0	1917	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VBZ	11	0	3	27	9	0	5	0	15	0	0	1009	2	0	10	1	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
VBG	15	0	12	2	63	0	6	0	63	0	0	5	538	0	5	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
CC	0	0	1	0	0	0	0	0	0	0	0	0	0	1134	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VBD	16	0	1	2	5	0	5	0	17	0	0	16	16	0	1343	96	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VBN	12	0	13	9	63	0	14	0	19	0	0	1	30	0	53	796	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RB	25	0	3	3	42	0	4	4	22	60	0	4	4	3	3	14	1237	0	0	4	0	2	24	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
TO	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRP	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	924	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RBR	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	7	0	0	44	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0
WDT	1	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VBP	3	0	2	3	1	0	57	0	38	0	0	7	5	0	6	4	0	0	0	0	0	591	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	12	0	0	0	0	0	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRP$	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JJS	1	0	0	0	5	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0
POS	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
``	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EX	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
''	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
